title,type,genres,year
The Batman,Filme,Action|Crime|Drama,2022
The Dark Knight,Filme,Action|Crime|Drama,2008
Joker,Filme,Crime|Drama|Thriller,2019
Interstellar,Filme,Adventure|Drama|Sci-Fi,2014
Matrix,Filme,Action|Sci-Fi,1999
Spider-Man,Filme,Action|Adventure|Sci-Fi,2002
Avengers,Filme,Action|Sci-Fi,2012
Pulp Fiction,Filme,Crime|Drama,1994
The Shawshank Redemption,Filme,Drama,1994
Forrest Gump,Filme,Drama|Romance,1994
The Godfather,Filme,Crime|Drama,1972
Gladiator,Filme,Action|Adventure|Drama,2000
The Prestige,Filme,Drama|Mystery|Sci-Fi,2006
Shutter Island,Filme,Drama|Mystery|Thriller,2010
Django Unchained,Filme,Drama|Western,2012
The Wolf of Wall Street,Filme,Biography|Comedy|Crime,2013
Parasite,Filme,Comedy|Drama|Thriller,2019
Whiplash,Filme,Drama|Music,2014
Get Out,Filme,Horror|Mystery|Thriller,2017
John Wick,Filme,Action|Crime|Thriller,2014
Dune,Filme,Action|Adventure|Sci-Fi,2021
Oppenheimer,Filme,Biography|Drama|History,2023
Everything Everywhere All at Once,Filme,Action|Adventure|Sci-Fi,2022
Top Gun: Maverick,Filme,Action|Drama,2022
The Social Network,Filme,Biography|Drama,2010
La La Land,Filme,Comedy|Drama|Music,2016
Mad Max: Fury Road,Filme,Action|Adventure|Sci-Fi,2015
Breaking Bad,Série,Crime|Drama|Thriller,2008
Better Call Saul,Série,Crime|Drama|Thriller,2015
Stranger Things,Série,Drama|Fantasy|Horror,2016
The Witcher,Série,Action|Adventure|Fantasy,2019
Game of Thrones,Série,Action|Adventure|Drama,2011
The Mandalorian,Série,Action|Adventure|Sci-Fi,2019
Dark,Série,Crime|Drama|Mystery,2017
Peaky Blinders,Série,Crime|Drama,2013
Wednesday,Série,Comedy|Crime|Fantasy,2022
Squid Game,Série,Action|Drama|Thriller,2021
The Last of Us,Série,Action|Adventure|Drama,2023
Arcane,Série,Action|Adventure|Fantasy,2021
House of the Dragon,Série,Action|Adventure|Drama,2022
Black Mirror,Série,Drama|Sci-Fi|Thriller,2011
The Boys,Série,Action|Comedy|Crime,2019
Narcos,Série,Biography|Crime|Drama,2015
The Crown,Série,Biography|Drama|History,2016
Severance,Série,Drama|Mystery|Sci-Fi,2022
Succession,Série,Comedy|Drama,2018
The Office,Série,Comedy,2005
Brooklyn Nine-Nine,Série,Comedy,2013
Friends,Série,Comedy|Romance,1994
Modern Family,Série,Comedy|Romance,2009
Superbad,Filme,Comedy,2007
The Hangover,Filme,Comedy,2009
The Conjuring,Filme,Horror|Mystery|Thriller,2013
Hereditary,Filme,Horror|Mystery|Thriller,2018
A Quiet Place,Filme,Horror|Sci-Fi,2018
The Haunting of Hill House,Série,Horror|Mystery,2018
Arrival,Filme,Sci-Fi|Mystery,2016
2001: A Space Odyssey,Filme,Sci-Fi|Adventure,1968
The Notebook,Filme,Romance|Drama,2004
Toy Story,Filme,Animation|Adventure|Comedy,1995
Shrek,Filme,Animation|Adventure|Comedy,2001
Spirited Away,Filme,Animation|Adventure|Family,2001
Finding Nemo,Filme,Animation|Adventure|Comedy,2003
Rick and Morty,Série,Animation|Adventure|Comedy,2013
BoJack Horseman,Série,Animation|Comedy|Drama,2014
